n,machine_id,round,workload
10000,4,14,1
10000,5,1,3
10000,5,2,7
10000,5,3,10
10000,5,4,7
10000,5,5,6
10000,5,6,12
10000,5,7,7
10000,5,8,1
10000,5,9,5
10000,5,10,6
10000,5,11,3
10000,5,12,2
10000,5,13,3
10000,5,14,0
10000,6,1,4
10000,6,2,6
10000,6,3,4
10000,6,4,8
10000,6,5,7
10000,6,6,9
10000,6,7,6
10000,6,8,6
10000,6,9,1
10000,6,10,3
10000,6,11,3
10000,6,12,2
10000,6,13,1
10000,6,14,0
10000,7,1,4
10000,7,2,6
10000,7,3,5
10000,7,4,6
10000,7,5,5
10000,7,6,8
10000,7,7,8
10000,7,8,5
10000,7,9,1
10000,7,10,3
10000,7,11,2
10000,7,12,2
10000,7,13,2
10000,7,14,1
10000,8,1,3
10000,8,2,5
10000,8,3,4
10000,8,4,7
10000,8,5,5
10000,8,6,12
10000,8,7,4
10000,8,8,4
10000,8,9,5
10000,8,10,7
10000,8,11,2
10000,8,12,3
10000,8,13,0
10000,8,14,0
10000,9,1,7
10000,9,2,12
10000,9,3,5
10000,9,4,5
10000,9,5,5
10000,9,6,6
10000,9,7,6
10000,9,8,7
10000,9,9,7
10000,9,10,4
10000,9,11,5
10000,9,12,2
10000,9,13,0
10000,9,14,1
20000,0,1,7
20000,0,2,6
20000,0,3,7
20000,0,4,12
20000,0,5,8
20000,0,6,16
20000,0,7,9
20000,0,8,18
20000,0,9,5
20000,0,10,13
20000,0,11,4
20000,0,12,2
20000,0,13,5
20000,0,14,3
20000,0,15,1
20000,1,1,4
20000,1,2,13
20000,1,3,9
20000,1,4,11
20000,1,5,13
20000,1,6,18
20000,1,7,10
20000,1,8,9
20000,1,9,10
20000,1,10,13
20000,1,11,9
20000,1,12,2
20000,1,13,5
20000,1,14,4
20000,1,15,1
20000,2,1,6
20000,2,2,6
20000,2,3,13
20000,2,4,14
20000,2,5,14
20000,2,6,23
20000,2,7,14
20000,2,8,9
20000,2,9,10
20000,2,10,9
20000,2,11,3
20000,2,12,6
20000,2,13,6
20000,2,14,2
20000,2,15,3
20000,3,1,1
20000,3,2,12
20000,3,3,9
20000,3,4,14
20000,3,5,11
20000,3,6,8
20000,3,7,10
20000,3,8,9
20000,3,9,14
20000,3,10,8
20000,3,11,9
20000,3,12,9
20000,3,13,6
20000,3,14,1
20000,3,15,1
20000,4,1,5
20000,4,2,11
20000,4,3,10
20000,4,4,9
20000,4,5,16
20000,4,6,22
20000,4,7,15
20000,4,8,14
20000,4,9,13
20000,4,10,3
20000,4,11,14
20000,4,12,6
20000,4,13,7
20000,4,14,0
20000,4,15,2
20000,5,1,4
20000,5,2,14
20000,5,3,8
20000,5,4,9
20000,5,5,7
20000,5,6,15
20000,5,7,15
20000,5,8,15
20000,5,9,9
20000,5,10,13
20000,5,11,6
20000,5,12,6
20000,5,13,3
20000,5,14,3
20000,5,15,1
20000,6,1,10
20000,6,2,7
20000,6,3,7
20000,6,4,15
20000,6,5,12
20000,6,6,16
20000,6,7,14
20000,6,8,14
20000,6,9,11
20000,6,10,8
20000,6,11,9
20000,6,12,8
20000,6,13,2
20000,6,14,2
20000,6,15,2
20000,7,1,3
20000,7,2,6
20000,7,3,7
20000,7,4,12
20000,7,5,8
20000,7,6,10
20000,7,7,19
20000,7,8,12
20000,7,9,7
20000,7,10,10
20000,7,11,6
20000,7,12,6
20000,7,13,5
20000,7,14,1
20000,7,15,0
20000,8,1,4
20000,8,2,5
20000,8,3,18
20000,8,4,4
20000,8,5,9
20000,8,6,19
20000,8,7,14
20000,8,8,9
20000,8,9,16
20000,8,10,9
20000,8,11,4
20000,8,12,7
20000,8,13,4
20000,8,14,1
20000,8,15,3
20000,9,1,4
20000,9,2,4
20000,9,3,13
20000,9,4,15
20000,9,5,14
20000,9,6,19
20000,9,7,15
20000,9,8,17
20000,9,9,9
20000,9,10,7
20000,9,11,9
20000,9,12,7
20000,9,13,3
20000,9,14,3
20000,9,15,0
40000,0,1,9
40000,0,2,8
40000,0,3,18
40000,0,4,19
40000,0,5,17
40000,0,6,18
40000,0,7,38
40000,0,8,26
40000,0,9,12
40000,0,10,17
40000,0,11,14
40000,0,12,15
40000,0,13,15
40000,0,14,11
40000,0,15,2
40000,0,16,8
40000,0,17,1
40000,0,18,1
40000,1,1,4
40000,1,2,7
40000,1,3,27
40000,1,4,27
40000,1,5,19
40000,1,6,18
40000,1,7,25
40000,1,8,28
40000,1,9,15
40000,1,10,16
40000,1,11,15
40000,1,12,12
40000,1,13,13
40000,1,14,7
40000,1,15,5
40000,1,16,6
40000,1,17,1
40000,1,18,5
40000,2,1,9
40000,2,2,18
40000,2,3,14
40000,2,4,17
